code	uic	naam	middel_naam	korte_naam	rdt_url	type	geo_lat	geo_lng
pmo	8400506	Purmerend Overwhere	Overwhere	Overwhere	purmerend-overwhere	stoptreinstation	52.51139	4.9683332
pmr	8400508	Purmerend	Purmerend	Purmerend	purmerend	knooppuntstoptreinstation	52.503056	4.953611
pmw	8400499	Purmerend Weidevenne	Weidevenne	Weidevenne	purmerend-weidevenne	stoptreinstation	52.49659	4.9356294
pt	8400509	Putten	Putten	Putten	putten	stoptreinstation	52265	5.575278
rai	8400056	Amsterdam RAI	RAI	A'dam RAI	amsterdam-rai	stoptreinstation	52.337223	4.890278
rat	8400513	Raalte	Raalte	Raalte	raalte	stoptreinstation	52.391666	6.2775
rb	8400521	Rilland-Bath	Rilland-Bath	Rilland-B	rilland-bath	stoptreinstation	51.42278	4.161111
rd	8400525	Roodeschool	Roodeschool	Roodesch	roodeschool	stoptreinstation	53.419212	6.760617
rh	8400519	Rheden	Rheden	Rheden	rheden	stoptreinstation	52.01	6.0305557
rhn	8400517	Rhenen	Rhenen	Rhenen	rhenen	knooppuntstoptreinstation	51.95861	5.5783334
rl	8400537	Ruurlo	Ruurlo	Ruurlo	ruurlo	stoptreinstation	52.08109	6.4492655
rlb	8400542	Rotterdam Lombardijen	Lombardijen	Lombardije	rotterdam-lombardijen	stoptreinstation	51.88	4.5313888
rm	8400523	Roermond	Roermond	Roermond	roermond	knooppuntintercitystation	51.193054	5.994167
rs	8400524	Rosmalen	Rosmalen	Rosmalen	rosmalen	stoptreinstation	51.71472	5.3680553
rsd	8400526	Roosendaal	Roosendaal	Roosendaal	roosendaal	knooppuntintercitystation	51.54028	4.4583335
rsn	8400538	Rijssen	Rijssen	Rijssen	rijssen	stoptreinstation	52.31222	6.520278
rsw	8400505	Rijswijk	Rijswijk	Rijswijk	rijswijk	stoptreinstation	52.039722	4.3191667
rta	8400507	Rotterdam Alexander	Alexander	Alexander	rotterdam-alexander	intercitystation	51.951946	4.5536113
rtb	8400529	Rotterdam Blaak	Blaak	Blaak	rotterdam-blaak	intercitystation	51.920277	4.4888887
